feature,gain,fold
rolloff85_p90,0.005314817652106285,1
mfcc_delta_8_std,0.005296615883708,1
mfcc_6_p10,0.005177972838282585,1
mfcc_delta_17_p90,0.005096458829939365,1
zero_crossing_rate_mean,0.005012541078031063,1
mfcc_delta_3_p90,0.004993817303329706,1
mfcc_delta_9_std,0.004857655614614487,1
mfcc_17_p90,0.004743920173496008,1
mfcc_0_p90,0.004732686094939709,1
mfcc_5_p90,0.004700818564742804,1
mfcc_18_p90,0.004659424070268869,1
mfcc_17_mean,0.004551219288259745,1
mfcc_11_mean,0.004546027164906263,1
mfcc_4_mean,0.004496905021369457,1
mfcc_delta_0_p90,0.004396536853164434,1
contrast_4_mean,0.004376682452857494,1
centroid_mean,0.0043647694401443005,1
mfcc_7_p10,0.004341020714491606,1
mfcc_10_std,0.004289576783776283,1
rolloff85_mean,0.0042884438298642635,1
mfcc_19_p90,0.004257135093212128,1
mfcc_10_p10,0.004250827711075544,1
bandwidth_p90,0.004242846742272377,1
mfcc_8_p10,0.004231921397149563,1
dominant_frequency_ratio,0.004213650245219469,1
contrast_5_p10,0.004211000166833401,1
mfcc_8_mean,0.004196631256490946,1
mfcc_8_std,0.004174692556262016,1
mfcc_3_p90,0.004161318298429251,1
mfcc_5_mean,0.0040497244335711,1
mfcc_0_std,0.0040219747461378574,1
mfcc_delta_8_p90,0.004010702483355999,1
rms_std,0.003992921207100153,1
mfcc_6_mean,0.003939185757189989,1
mfcc_16_p90,0.003935337532311678,1
spectral_entropy_mean,0.003785414155572653,1
mfcc_17_std,0.003734779544174671,1
mfcc_7_mean,0.00373152457177639,1
mfcc_2_p90,0.19079236686229706,2
mfcc_2_mean,0.06734796613454819,2
mfcc_2_p10,0.0267756637185812,2
mfcc_4_mean,0.024084124714136124,2
flatness_p10,0.020982682704925537,2
mfcc_4_p10,0.012291466817259789,2
bandwidth_p90,0.011726997792720795,2
rms_p90,0.0105860261246562,2
bandwidth_mean,0.010189143940806389,2
rms_mean,0.01008549239486456,2
rms_p10,0.00996248796582222,2
centroid_p10,0.009848622605204582,2
flatness_mean,0.009236305952072144,2
mfcc_19_p10,0.009167875163257122,2
mfcc_0_std,0.007915092632174492,2
mfcc_3_mean,0.0072797201573848724,2
mfcc_3_p90,0.007056649308651686,2
mfcc_delta_17_p90,0.006880561355501413,2
mfcc_18_p10,0.006564874202013016,2
flatness_p90,0.00652737682685256,2
mfcc_7_p90,0.006504617631435394,2
mfcc_15_std,0.00632103718817234,2
